numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07190;20241226150000;103470;-70;5;10;2.700000;278.850000;273.650000;69;32840;0;mq;mq;mq;0;mq;mq;mq;mq;101580;mq;mq;-170;mq;mq;mq;mq;271.950000;mq;mq;3.800000;5.100000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20241226150000;mq;mq;mq;40;4.200000;280.750000;mq;mq;1500;12;2;mq;100;8;250;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6.800000;8.900000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;7;200;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20241226150000;103130;-120;6;40;3.700000;279.850000;278.750000;93;23970;0;mq;mq;100;8;150;mq;mq;mq;102800;mq;mq;-200;mq;mq;mq;mq;280.750000;mq;mq;8.500000;9.000000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;180;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07240;20241226150000;103240;-70;6;40;2.600000;280.050000;278.150000;88;59010;0;mq;mq;90;7;450;mq;mq;mq;101850;mq;mq;-170;mq;mq;mq;mq;281.050000;mq;mq;5.100000;6.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;390;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20241226150000;103250;-50;6;100;2.800000;280.250000;276.150000;75;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101190;mq;mq;-180;mq;mq;mq;mq;277.950000;mq;mq;3.700000;5.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20241226150000;103320;-50;6;150;1.400000;279.250000;273.550000;67;37650;0;mq;mq;mq;0;mq;mq;mq;mq;100590;mq;mq;-130;mq;mq;mq;mq;274.950000;mq;mq;2.000000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20241226150000;103550;-30;5;320;3.000000;272.550000;272.450000;99;170;49;mq;mq;101;9;30;mq;mq;mq;100090;mq;mq;-100;mq;mq;mq;mq;275.150000;mq;mq;4.600000;4.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07314;20241226150000;103030;-100;6;20;7.300000;282.850000;280.450000;85;12000;2;2;mq;75;6;450;36;27;mq;102750;mq;mq;-280;mq;mq;mq;mq;mq;mq;mq;9.200000;9.400000;-10;2;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;8;500;2;4;0;mq;mq;mq;mq;mq;mq;
07335;20241226150000;103130;-80;6;40;5.100000;280.750000;277.650000;81;36230;0;mq;mq;mq;1;450;mq;mq;mq;101640;mq;mq;-220;mq;mq;mq;mq;281.550000;mq;mq;7.200000;7.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;1;mq;480;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20241226150000;102960;-40;6;100;0.700000;282.250000;272.850000;52;43890;0;mq;mq;mq;0;mq;mq;mq;mq;98090;mq;mq;-230;mq;mq;mq;mq;276.150000;mq;mq;1.600000;3.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
